Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
39	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6376	G6376_20240219_090000.WAV	18.0	21.0	NA	NA	NA	0	NA
40	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6418	G6418_20240216_130000.WAV	33.0	36.0	NA	NA	NA	0	NA
41	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6455	G6455_20240213_180000.WAV	42.0	45.0	NA	NA	NA	0	NA
42	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6460	G6460_20240229_180000.WAV	9.0	12.0	NA	NA	NA	0	NA
43	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6442	G6442_20240225_060000.WAV	0.0	3.0	NA	NA	NA	0	NA
44	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6406	G6406_20240217_180000.WAV	24.0	27.0	NA	NA	NA	0	NA
45	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6371	G6371_20240212_180000.WAV	6.0	9.0	NA	NA	NA	0	NA
46	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6376	G6376_20240212_110000.WAV	0.0	3.0	NA	NA	NA	0	NA
47	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6418	G6418_20240215_093000.WAV	51.0	54.0	NA	NA	NA	0	NA
48	Spectrogram 1	1	0	3	0	Black-spotted Bare-eye	Phlegopsis nigromaculata		G6460	G6460_20240213_110000.WAV	9.0	12.0	NA	NA	NA	0	NA
