original_file,segment_file,Start_time (s),End_time (s),Clements2024_Scientific_Name,Confidence,latitude,longitude,project,locality,punto,municipality,timestamp,aru_type,recorder,habitat
./Calima/Despliegue4/Punto_25_202505_CA33/CB647E8D_20250514_163500.WAV,./Calima/Validation_1to5/random100_perch/Grallaria_guatimalensis/2010816_CB647E8D_20250514_163500.flac,10,15,Grallaria guatimalensis,0.053223148,4.009018,-76.478116,Calima,ElTesoro,25,Darien,20250514_163500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_22_202504_CA5/445B1132_20250424_081500.WAV,./Calima/Validation_1to5/random100_perch/Ictinia_mississippiensis/1314709_445B1132_20250424_081500.flac,30,35,Ictinia mississippiensis,0.029174615,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250424_081500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_20_202504_CA3/660E9F11_20250425_092000.WAV,./Calima/Validation_1to5/random100_perch/Spiza_americana/1217000_660E9F11_20250425_092000.flac,50,55,Spiza americana,0.013608482,4.01164,-76.47372,Calima,ElTesoro,20,Darien,20250425_092000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_17_202504_CA26/B45B64F7_20250403_052000.WAV,./Calima/Validation_1to5/random100_perch/Chordeiles_minor/1111422_B45B64F7_20250403_052000.flac,5,10,Chordeiles minor,0.029139282,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250403_052000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_6_202501_CA4/9BB2C176_20250102_205000.WAV,./Calima/Validation_1to5/random100_perch/Empidonax_traillii/210809_9BB2C176_20250102_205000.flac,40,45,Empidonax traillii,0.056793492,3.908615,-76.60555,Calima,RioBravo,6,Darien,20250102_155000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_22_202506_CA5/445B1132_20250630_071500.WAV,./Calima/Validation_1to5/random100_perch/Trogon_cupreicauda/2499130_445B1132_20250630_071500.flac,5,10,Trogon cupreicauda,0.20224151,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250630_071500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_14_202502_M2/1E57904A_20250224_162000.WAV,./Calima/Validation_1to5/random100_perch/Diglossa_indigotica/279909_1E57904A_20250224_162000.flac,10,15,Diglossa indigotica,0.039139405,3.96468,-76.50728,Calima,Ensueno,14,Darien,20250224_162000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_28_202505_CA30/40A35F8D_20250501_120000.WAV,./Calima/Validation_1to5/random100_perch/Habia_rubica/1585460_40A35F8D_20250501_120000.flac,30,35,Habia rubica,0.050546814,3.910672,-76.606713,Calima,RioBravo,28,Darien,20250501_120000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_17_202504_CA26/B45B64F7_20250407_045000.WAV,./Calima/Validation_1to5/random100_perch/Pheucticus_ludovicianus/1120567_B45B64F7_20250407_045000.flac,10,15,Pheucticus ludovicianus,0.02711356,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250407_045000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_23_202502_CA29/E0E5570B_20250201_180500.WAV,./Calima/Validation_1to5/random100_perch/Micrastur_semitorquatus/815302_E0E5570B_20250201_180500.flac,45,50,Micrastur semitorquatus,0.5996711,4.00779,-76.47462,Calima,ElTesoro,23,Darien,20250201_180500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_3_202412_CA3/660E9F11_20241217_203000.WAV,./Calima/Validation_1to5/random100_perch/Cyanoloxia_brissonii/43840_660E9F11_20241217_203000.flac,5,10,Cyanoloxia brissonii,0.026011236,3.908712,-76.605568,Calima,RioBravo,3,Darien,20241217_153000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_21_202505_CA8/85926BE7_20250520_154500.WAV,./Calima/Validation_1to5/random100_perch/Myiarchus_crinitus/1901579_85926BE7_20250520_154500.flac,45,50,Myiarchus crinitus,0.057818294,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250520_154500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_19_202506_CA1/0DCAD56D_20250622_105500.WAV,./Calima/Validation_1to5/random100_perch/Falco_peregrinus/2295600_0DCAD56D_20250622_105500.flac,5,10,Falco peregrinus,0.07814372,4.00888,-76.48257,Calima,ElTesoro,19,Darien,20250622_105500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_21_202502_CA8/85926BE7_20250203_070000.WAV,./Calima/Validation_1to5/random100_perch/Piranga_olivacea/689077_85926BE7_20250203_070000.flac,15,20,Piranga olivacea,0.034144495,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250203_070000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_3_202501_CA3/660E9F11_20250105_195000.WAV,./Calima/Validation_1to5/random100_perch/Progne_subis/87524_660E9F11_20250105_195000.flac,25,30,Progne subis,0.039095107,3.908712,-76.605568,Calima,RioBravo,3,Darien,20250105_145000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_2_202411_CA3/660E9F11_20241123_190500.WAV,./Calima/Validation_1to5/random100_perch/Ixothraupis_rufigula/18149_660E9F11_20241123_190500.flac,50,55,Ixothraupis rufigula,0.038432125,3.939987,-76.485408,Calima,Ensueno,2,Darien,20241123_140500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_22_202504_CA5/445B1132_20250430_063500.WAV,./Calima/Validation_1to5/random100_perch/Grallaricula_nana/1328291_445B1132_20250430_063500.flac,30,35,Grallaricula nana,0.0417024,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250430_063500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_26_202505_CA32/A6FA48B1_20250531_082500.WAV,./Calima/Validation_1to5/random100_perch/Ictinia_mississippiensis/2111916_A6FA48B1_20250531_082500.flac,50,55,Ictinia mississippiensis,0.04530107,4.016158,-76.475501,Calima,ElTesoro,26,Darien,20250531_082500,audiomoth,Jimena Benavides,unknown
