startTime,endTime,speciesName,confidence,mediaID,recorderID,deploymentGroups,projectName,latitude,longitude,deploymentStart,deploymentEnd
51.0,54.0,Ciccaba huhula,0.1746,G6395_20240227_013000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
3.0,6.0,Lophostrix cristata,0.111,G6414_20240301_230000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
51.0,54.0,Megascops watsonii,0.8498,G6442_20240212_040000.WAV,G6442,season t1,GEOPARK_PUTUMAYO_2024,0.481959,-76.319523,2024-02-08,2024-03-02
0.0,3.0,Lurocalis semitorquatus,0.1836,G6395_20240216_020000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
51.0,54.0,Ceratopipra erythrocephala,0.1576,G6429_20240213_160000.WAV,G6429,season t1,GEOPARK_PUTUMAYO_2024,0.484917,-76.325309,2024-02-09,2024-03-02
12.0,15.0,Tolmomyias flaviventris,0.2871,G6462_20240221_170000.WAV,G6462,season t1,GEOPARK_PUTUMAYO_2024,0.486133,-76.323221,2024-02-08,2024-03-02
45.0,48.0,Piaya melanogaster,0.1107,G6394_20240222_140000.WAV,G6394,season t1,GEOPARK_PUTUMAYO_2024,0.47208,-76.3288,2024-02-07,2024-03-02
24.0,27.0,Zebrilus undulatus,0.5049,G6403_20240225_213000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
39.0,42.0,Myrmophylax atrothorax,0.1109,G6371_20240211_123000.WAV,G6371,season t1,GEOPARK_PUTUMAYO_2024,0.47182,-76.3307,2024-02-07,2024-03-02
12.0,15.0,Lophostrix cristata,0.1126,G6414_20240210_213000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
39.0,42.0,Zebrilus undulatus,0.3076,G6403_20240217_193000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
33.0,36.0,Asio clamator,0.3415,G6414_20240226_023000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
9.0,12.0,Pulsatrix perspicillata,0.1612,G6381_20240211_020000.WAV,G6381,season t1,GEOPARK_PUTUMAYO_2024,0.467902,-76.324046,2024-02-07,2024-03-02
54.0,57.0,Ciccaba virgata,0.1861,G6413_20240219_043000.WAV,G6413,season t1,GEOPARK_PUTUMAYO_2024,0.465565,-76.326598,2024-02-07,2024-03-02
3.0,6.0,Laterallus exilis,0.2222,G6384_20240219_063000.WAV,G6384,season t1,GEOPARK_PUTUMAYO_2024,0.466205,-76.322577,2024-02-07,2024-03-02
48.0,51.0,Pulsatrix perspicillata,0.2126,G6455_20240217_193000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
3.0,6.0,Automolus infuscatus,0.1103,G6419_20240213_183000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
36.0,39.0,Nothocrax urumutum,0.2382,G6464_20240229_200000.WAV,G6464,season t1,GEOPARK_PUTUMAYO_2024,0.483653,-76.316732,2024-02-09,2024-03-02
45.0,48.0,Heliomaster longirostris,0.4214,G6403_20240225_203000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
42.0,45.0,Ciccaba virgata,0.2775,G6404_20240228_030000.WAV,G6404,season t1,GEOPARK_PUTUMAYO_2024,0.497502,-76.322981,2024-02-13,2024-03-02
24.0,27.0,Dendrocolaptes certhia,0.1076,G6462_20240211_060000.WAV,G6462,season t1,GEOPARK_PUTUMAYO_2024,0.486133,-76.323221,2024-02-08,2024-03-02
30.0,33.0,Ciccaba virgata,0.1316,G6370_20240226_200000.WAV,G6370,season t1,GEOPARK_PUTUMAYO_2024,0.501763,-76.323853,2024-02-12,2024-03-02
48.0,51.0,Pulsatrix perspicillata,0.1938,G6406_20240217_000000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
9.0,12.0,Pulsatrix perspicillata,0.1174,G6434_20240208_000000.WAV,G6434,season t1,GEOPARK_PUTUMAYO_2024,0.465314,-76.324496,2024-02-07,2024-03-02
12.0,15.0,Lurocalis semitorquatus,0.1289,G6428_20240217_203000.WAV,G6428,season t1,GEOPARK_PUTUMAYO_2024,0.5002,-76.325689,2024-02-13,2024-03-02
42.0,45.0,Myrmothera campanisona,0.1156,G6371_20240228_160000.WAV,G6371,season t1,GEOPARK_PUTUMAYO_2024,0.47182,-76.3307,2024-02-07,2024-03-02
18.0,21.0,Ciccaba huhula,0.1611,G6381_20240212_220000.WAV,G6381,season t1,GEOPARK_PUTUMAYO_2024,0.467902,-76.324046,2024-02-07,2024-03-02
48.0,51.0,Ceratopipra erythrocephala,0.1165,G6398_20240208_140000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
3.0,6.0,Ciccaba virgata,0.221,G6469_20240228_223000.WAV,G6469,season t1,GEOPARK_PUTUMAYO_2024,0.498802,-76.324496,2024-02-13,2024-03-02
27.0,30.0,Lophostrix cristata,0.1161,G6414_20240210_033000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
39.0,42.0,Lophostrix cristata,0.1335,G6414_20240220_040000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
3.0,6.0,Nyctibius griseus,0.1718,G6398_20240214_053000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
42.0,45.0,Pulsatrix perspicillata,0.1116,G6464_20240301_010000.WAV,G6464,season t1,GEOPARK_PUTUMAYO_2024,0.483653,-76.316732,2024-02-09,2024-03-02
27.0,30.0,Ciccaba virgata,0.2087,G6419_20240216_030000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
15.0,18.0,Lophostrix cristata,0.2517,G6398_20240209_023000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
24.0,27.0,Lepidothrix coronata,0.3586,G6370_20240227_120000.WAV,G6370,season t1,GEOPARK_PUTUMAYO_2024,0.501763,-76.323853,2024-02-12,2024-03-02
6.0,9.0,Heliomaster longirostris,0.811,G6403_20240213_193000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
36.0,39.0,Ciccaba virgata,0.103,G6414_20240223_050000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
48.0,51.0,Pulsatrix perspicillata,0.1028,G6403_20240213_233000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
21.0,24.0,Ceratopipra erythrocephala,0.122,G6429_20240218_160000.WAV,G6429,season t1,GEOPARK_PUTUMAYO_2024,0.484917,-76.325309,2024-02-09,2024-03-02
30.0,33.0,Megascops watsonii,0.106,G6371_20240211_040000.WAV,G6371,season t1,GEOPARK_PUTUMAYO_2024,0.47182,-76.3307,2024-02-07,2024-03-02
24.0,27.0,Ciccaba virgata,0.1373,G6398_20240212_233000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
57.0,60.0,Ciccaba virgata,0.117,G6395_20240226_230000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
21.0,24.0,Attila citriniventris,0.1187,G6381_20240223_100000.WAV,G6381,season t1,GEOPARK_PUTUMAYO_2024,0.467902,-76.324046,2024-02-07,2024-03-02
57.0,60.0,Steatornis caripensis,0.2062,G6468_20240218_003000.WAV,G6468,season t1,GEOPARK_PUTUMAYO_2024,0.468108,-76.32182,2024-02-07,2024-03-02
39.0,42.0,Ciccaba virgata,0.2506,G6370_20240301_010000.WAV,G6370,season t1,GEOPARK_PUTUMAYO_2024,0.501763,-76.323853,2024-02-12,2024-03-02
27.0,30.0,Pulsatrix perspicillata,0.3956,G6437_20240226_210000.WAV,G6437,season t1,GEOPARK_PUTUMAYO_2024,0.485901,-76.316377,2024-02-09,2024-03-02
3.0,6.0,Ciccaba virgata,0.1478,G6467_20240301_040000.WAV,G6467,season t1,GEOPARK_PUTUMAYO_2024,0.504661,-76.324227,2024-02-12,2024-03-02
3.0,6.0,Heliomaster longirostris,0.1045,G6403_20240212_193000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
15.0,18.0,Pulsatrix perspicillata,0.157,G6394_20240210_190000.WAV,G6394,season t1,GEOPARK_PUTUMAYO_2024,0.47208,-76.3288,2024-02-07,2024-03-02
12.0,15.0,Ciccaba virgata,0.1333,G6398_20240212_020000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
27.0,30.0,Ciccaba virgata,0.1736,G6403_20240225_033000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
48.0,51.0,Ciccaba virgata,0.1051,G6455_20240210_000000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
6.0,9.0,Ceratopipra erythrocephala,0.249,G6455_20240208_100000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
36.0,39.0,Nyctibius griseus,0.1205,G6413_20240212_033000.WAV,G6413,season t1,GEOPARK_PUTUMAYO_2024,0.465565,-76.326598,2024-02-07,2024-03-02
