Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
19	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240211_063000.WAV	9.0	12.0	NA	NA	NA	0	NA
20	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6398	G6398_20240214_083000.WAV	30.0	33.0	NA	NA	NA	0	NA
21	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240224_163000.WAV	12.0	15.0	NA	NA	NA	0	NA
22	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240221_063000.WAV	51.0	54.0	NA	NA	NA	0	NA
23	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6408	G6408_20240212_080000.WAV	18.0	21.0	NA	NA	NA	0	NA
24	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240211_063000.WAV	6.0	9.0	NA	NA	NA	0	NA
25	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6398	G6398_20240212_080000.WAV	21.0	24.0	NA	NA	NA	0	NA
26	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240301_063000.WAV	48.0	51.0	NA	NA	NA	0	NA
27	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240211_063000.WAV	24.0	27.0	NA	NA	NA	0	NA
28	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240301_063000.WAV	9.0	12.0	NA	NA	NA	0	NA
29	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6437	G6437_20240209_083000.WAV	15.0	18.0	NA	NA	NA	0	NA
30	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240216_103000.WAV	3.0	6.0	NA	NA	NA	0	NA
31	Spectrogram 1	1	0	3	0	Spot-backed Antbird	Hylophylax naevius		G6421	G6421_20240211_063000.WAV	51.0	54.0	NA	NA	NA	0	NA
