Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
27	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-02-03	2MM05070		33	36	NA	NA	NA	0	NA
28	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-02-03	2MM05070		33	36	NA	NA	NA	0	NA
29	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-06-06	2MM05004		51	54	NA	NA	NA	0	NA
30	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-06-14	2MM06677		30	33	NA	NA	NA	0	NA
31	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-14	2MM05078		57	60	NA	NA	NA	0	NA
32	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-02-02	2MM05070		21	24	NA	NA	NA	0	NA
33	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-12	2MM05355		39	42	NA	NA	NA	0	NA
34	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-15	2MM05078		0	3	NA	NA	NA	0	NA
35	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-02-09	2MM05355		42	45	NA	NA	NA	0	NA
36	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-08-13	2MM05070		33	36	NA	NA	NA	0	NA
37	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-03-27	2MM05373		27	30	NA	NA	NA	0	NA
38	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-05-30	2MM05314		51	54	NA	NA	NA	0	NA
39	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-26	2MM05070		51	54	NA	NA	NA	0	NA
40	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-27	2MM05070		6	9	NA	NA	NA	0	NA
41	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-22	2MM05319		15	18	NA	NA	NA	0	NA
42	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-02-01	2MM05070		15	18	NA	NA	NA	0	NA
43	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-05-29	2MM05078		51	54	NA	NA	NA	0	NA
44	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-27	2MM05070		30	33	NA	NA	NA	0	NA
45	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-25	2MM05070		45	48	NA	NA	NA	0	NA
46	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-03-27	2MM05004		36	39	NA	NA	NA	0	NA
47	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-08-13	2MM05070		15	18	NA	NA	NA	0	NA
48	Spectrogram 1	1	0		0	Long-wattled Umbrellabird	Cephalopterus penduliger	2025-01-31	2MM05070		24	27	NA	NA	NA	0	NA
