Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Common Name	Scientific Name	Date	Punto	Begin Path	Orig_start	Orig_end	verify	song_type	reference	add2library	notes
29	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-04-01	2MM04976		48	51	NA	NA	NA	0	NA
30	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-05-24	2MM05078		30	33	NA	NA	NA	0	NA
31	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-03-06	2MM05001		21	24	NA	NA	NA	0	NA
32	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-08-18	2MM05070		51	54	NA	NA	NA	0	NA
33	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-08-19	2MM05070		48	51	NA	NA	NA	0	NA
34	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-08-18	2MM05070		30	33	NA	NA	NA	0	NA
35	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-07	2MM05070		12	15	NA	NA	NA	0	NA
36	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-04-01	2MM04976		54	57	NA	NA	NA	0	NA
37	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-05-28	2MM05078		57	60	NA	NA	NA	0	NA
38	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-05	2MM05070		18	21	NA	NA	NA	0	NA
39	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-07	2MM05070		27	30	NA	NA	NA	0	NA
40	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-03-22	2MM05001		6	9	NA	NA	NA	0	NA
41	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-05-29	2MM05078		27	30	NA	NA	NA	0	NA
42	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-11	2MM05070		39	42	NA	NA	NA	0	NA
43	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-03-10	2MM05070		51	54	NA	NA	NA	0	NA
44	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-04	2MM05070		54	57	NA	NA	NA	0	NA
45	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-14	2MM05070		15	18	NA	NA	NA	0	NA
46	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-05-29	2MM05070		6	9	NA	NA	NA	0	NA
47	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-01-27	2MM05078		54	57	NA	NA	NA	0	NA
48	Spectrogram 1	1	0		0	Bicolored Antvireo	Dysithamnus occidentalis	2025-06-07	2MM05070		36	39	NA	NA	NA	0	NA
